BCUT2D_LOGPLOW,PEOE_VSA11,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,SMR_VSA10,SMR_VSA2,TPSA,NumAliphaticCarbocycles,NumAromaticCarbocycles,Value
-2.4282653,0.0,14.762494,0.0,0.0,28.569765,0.0,109.87,0.0,1.0,7.43
-2.1830752,11.499023,14.358372,0.0,12.407033,50.74515,0.0,59.51,0.0,2.0,7.52
-2.034332,0.0,9.9679575,4.9839787,0.0,11.635726,0.0,55.63,0.0,2.0,7.72
-2.3820508,5.647177,9.499376,5.098682,0.0,5.647177,0.0,51.89,0.0,2.0,7.49
-2.4283323,5.647177,14.762494,4.9839787,0.0,28.830717,0.0,130.52,0.0,1.0,5.52
-1.923253,5.760247,4.9839787,5.2618914,0.0,11.702045,5.2618914,61.85,0.0,2.0,4.84
-2.3053248,0.0,13.139892,0.0,0.0,27.53141,0.0,63.24,0.0,2.0,4.82
-2.0468318,15.597501,13.401775,0.0,0.0,33.14024,0.0,81.43,0.0,2.0,5.12
-2.0468278,15.597501,13.401775,0.0,0.0,33.14024,0.0,81.43,0.0,3.0,7.3
-2.303281,0.0,13.139892,0.0,0.0,62.334232,0.0,63.24,0.0,2.0,6.34
-2.3634453,11.499023,19.152908,11.761885,0.0,57.709293,0.0,135.73,0.0,2.0,5.72
-2.0468278,15.597501,13.401775,0.0,0.0,21.539299,0.0,94.32,0.0,2.0,4.82
-2.0972018,15.597501,13.401775,0.0,0.0,27.446478,0.0,124.52,0.0,2.0,6.68
-2.3569067,5.817863,28.55484,5.098682,0.0,34.709755,0.0,122.12,0.0,1.0,7.72
-2.3028412,11.499023,14.358372,0.0,0.0,38.33812,0.0,59.51,0.0,2.0,7.22
-2.2287323,5.817863,23.760303,13.879512,10.197364,22.929129,0.0,119.47,0.0,1.0,7.77
-2.2287323,5.817863,23.760303,5.098682,10.197364,22.929129,0.0,119.47,0.0,1.0,7.04
-2.304288,0.0,13.139892,0.0,0.0,39.13235,0.0,63.24,0.0,2.0,6.46
-2.305661,0.0,13.139892,0.0,0.0,43.461353,0.0,63.24,0.0,2.0,6.21
-2.2287323,5.817863,28.744282,5.098682,0.0,22.929129,0.0,106.58,0.0,1.0,8.96
-2.091415,11.499023,19.040174,0.0,5.098682,38.33812,0.0,86.98,0.0,2.0,7.3
-2.3035235,0.0,13.139892,0.0,0.0,39.13235,0.0,63.24,0.0,2.0,6.12
-2.4442978,0.0,14.762494,0.0,0.0,28.569765,0.0,103.88,0.0,1.0,7.14
-2.2287323,5.817863,23.760303,5.098682,10.197364,22.929129,0.0,119.47,1.0,1.0,8.4
